catagory,action-link-href,name,company,rate,privacy-policy-link-href
Food & drink,https://assistant.google.com/services/a/uid/000000c1f9edbcc8,Bawarchi Recipes,Sify Technologies Ltd,3,http://www.sify.com/privacy.php
Travel & transportation,https://assistant.google.com/services/a/uid/0000000fba9d90b9,Singapore Airlines,,4.4,http://www.singaporeair.com/en_UK/privacy-policy/
Food & drink,https://assistant.google.com/services/a/uid/0000008a9dcf65e0,Sitara Ashburn,Sitara Indian Cuisine,4,http://www.sitaracuisine.com/privacypolicy.php
Games & fun,https://assistant.google.com/services/a/uid/00000076d5b94d46,Jeopardy!,Sony Pictures,4.1,http://www.sonypictures.com/corp/privacy.html
Local,https://assistant.google.com/services/a/uid/000000041515a798,HVAC Dealers,Shan,3.2,http://www.spacenext.com/privacy.php
News & magazines,https://assistant.google.com/services/a/uid/0000004eba767425,Read News,SpaceNext,4.2,http://www.spacenext.com/privacy.php
Travel & transportation,https://assistant.google.com/services/a/uid/000000e1faf39f07,Save AirTicket,,5,http://www.spacenext.com/privacy_saveairticket.php
Smart home,https://assistant.google.com/services/a/uid/000000cfdba4a808,My spa pool,Spa Net Pty Ltd,4.8,http://www.spanet.com.au/?page_id=651
Health & fitness,https://assistant.google.com/services/a/uid/0000000aca266d21,Super Cool Diet,,3.2,http://www.supercooldiet.com/p/privacy-policy.html
Smart home,https://assistant.google.com/services/a/uid/000000d4b11debfe,Home Safe View,Swann Communications,3,http://www.swann.com/company/privacy-policy
Productivity,https://assistant.google.com/services/a/uid/0000008135b5126f,Tali,,3.8,http://www.telltali.com/privacy
Smart home,https://assistant.google.com/services/a/uid/00000043e6e1e326,TELUS Home Assistant,TELUS,5,http://www.telus.com/privacy
Travel & transportation,https://assistant.google.com/services/a/uid/000000eef0fae128,TSO Mobile,,5,http://www.tsomobile.com/privacy-policy
Arts & lifestyle,https://assistant.google.com/services/a/uid/0000003bd2500f79,All Things Hair,Unilever,3.1,http://www.unileverprivacypolicy.com/en_us/policy.aspx
Smart home,https://assistant.google.com/services/a/uid/0000005ffd0ce0c3,URC,URC,4.2,http://www.universalremote.com/privacy-policy/
Business & finance,https://assistant.google.com/services/a/uid/0000003316522888,Personal Qbook,up2code,5,http://www.up2code-nyc.com/wp-content/themes/Up2Code/privacypolicy.html
Smart home,https://assistant.google.com/services/a/uid/000000d14ce7332c,VIAROOM Home,VIAROOM,0,http://www.viaroom.com/
Smart home,https://assistant.google.com/services/a/uid/000000e1828451d2,Vivint Smart Home,Vivint Smart Home,3.9,http://www.vivint.com/company/policies/privacy
Smart home,https://assistant.google.com/services/a/uid/0000005369b6fe36,Vivitar Lights,"Sakar International, Inc.",5,http://www.vivitar.com/disclaimer
